TimeStamp,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Right Eye Position X,Right Eye Position Y,Right Eye Position Z,Left Eye Position X,Left Eye Position Y,Left Eye Position Z,Center Eye Position X,Center Eye Position Y,Center Eye Position Z,Center Eye Rotation X,Center Eye Rotation Y,Center Eye Rotation Z,Center Eye Rotation W,Left Eye Rotation X,Left Eye Rotation Y,Left Eye Rotation Z,Left Eye Rotation W,Right Eye Rotation X,Right Eye Rotation Y,Right Eye Rotation Z,Right Eye Rotation W
37.46429,-3.2930408,-39.071045,-9.442963,-0.32655397,0.46291253,-0.0745047,-0.27296618,0.47518438,-0.06197449,-0.32906607,0.46349335,-0.04527455,-0.30002737,0.46410924,-0.055003904,0.29665408,0.1497744,0.06214236,0.9411175,0.33713892,0.15141416,0.06538681,0.92689556,0.33287397,0.14288272,0.07098865,0.9293761
37.48081,-22.286608,-23.322674,-8.151356,-0.32655397,0.46291253,-0.0745047,-0.26489118,0.47431624,-0.059940126,-0.32113063,0.46282175,-0.043576617,-0.2920223,0.46333003,-0.05310185,0.29359445,0.1464599,0.06155202,0.9426363,0.33413848,0.14814092,0.064668976,0.9285601,0.32988477,0.13958149,0.07025522,0.930998
37.497513,-31.685179,5.240575,-12.041335,-0.32655397,0.46291253,-0.0745047,-0.25614613,0.4773735,-0.05834781,-0.31241712,0.46617758,-0.041885916,-0.28330863,0.46652293,-0.051418014,0.28954095,0.14694715,0.05899585,0.94397676,0.33013335,0.14875051,0.06215495,0.9300656,0.3258994,0.14015558,0.067701675,0.93250334
37.514427,-49.3673,19.110378,-6.385139,-0.32655397,0.46291253,-0.0745047,-0.24441111,0.4765636,-0.05583951,-0.3006339,0.46567026,-0.03901401,-0.27156273,0.4658465,-0.048663884,0.28295824,0.14976236,0.05621682,0.94569844,0.3236204,0.1517016,0.059530318,0.9320474,0.31939933,0.14305864,0.06500471,0.9345013
37.531017,-89.27034,25.524794,-2.1628866,-0.32655397,0.46291253,-0.0745047,-0.2338447,0.47379526,-0.056462664,-0.28997982,0.4633113,-0.039091934,-0.26077852,0.46507862,-0.047109816,0.27096498,0.15388146,0.052934434,0.9487341,0.31168598,0.15605849,0.056416877,0.93558264,0.30740705,0.14717454,0.061908185,0.93808746
37.54896,-76.85453,39.282383,-15.239448,-0.32655397,0.46291253,-0.0745047,-0.22349937,0.47658464,-0.057660136,-0.27949476,0.46671823,-0.039494988,-0.25037044,0.46818748,-0.04784588,0.26021442,0.15969338,0.047146667,0.9510855,0.30102462,0.16214222,0.050935175,0.9383492,0.29677776,0.15317878,0.056300424,0.9408981
37.56733,-41.63424,49.812668,-20.44375,-0.32655397,0.46291253,-0.0745047,-0.21123031,0.47886297,-0.059625357,-0.2670257,0.46955356,-0.04057257,-0.238011,0.47074726,-0.04933872,0.25475162,0.16673964,0.040883895,0.9516449,0.29556933,0.16946098,0.04500652,0.9390932,0.29136223,0.16045298,0.050291117,0.9417185
37.580807,-36.632122,-1.0121107,-5.0253587,-0.32655397,0.46291253,-0.0745047,-0.20209396,0.4794877,-0.058398172,-0.25790486,0.4704088,-0.039279446,-0.22888663,0.4714926,-0.048048466,0.25074285,0.16665035,0.039632995,0.95277745,0.29160574,0.1694378,0.04377232,0.94039404,0.28740764,0.16040026,0.049018595,0.9430088
37.59767,-68.87713,109.44589,-9.28563,-0.26387626,0.46598202,-0.048575174,-0.18298073,0.47463265,-0.05825298,-0.23824368,0.4660708,-0.037384164,-0.20948502,0.46690857,-0.04699478,0.24190603,0.18202445,0.03259626,0.9525156,0.28275442,0.18511103,0.037444584,0.9404158,0.2785789,0.17602488,0.042543344,0.94318557
37.614216,-66.521675,37.638157,19.85255,-0.25339717,0.46588498,-0.04664774,-0.16718277,0.4725135,-0.056753132,-0.2221929,0.4640654,-0.035181794,-0.1935354,0.46486732,-0.045092832,0.23239765,0.18819505,0.032261558,0.95369446,0.27331364,0.1913124,0.037421588,0.94196546,0.26911575,0.18218188,0.042403,0.944769
